,Unnamed: 0.1,Unnamed: 0,Country,Happiness Score,Local Purchasing Power Index,Cost of Living Index,Capital,Latitude,Longitude,Rank,Crime Index,Safety Index,Normalized Happiness,Normalized Local Purchasing Power,Normalized Safety,"Equally Weighted Safety, Purchasing, and Happiness"
0,0,0,Finland,7821.0,91.02,73.2,Helsinki,60.16666666666666,24.933333,380.3333333333333,27.76333333333333,72.23666666666666,1.0,0.857172840801763,0.8129082013833658,1.5477612938966085
1,1,1,Denmark,7636.0,99.45,84.12,Copenhagen,55.66666666666666,12.583333,411.0,24.27,75.73,0.9550861859674679,0.9456396264036101,0.8634227460053504,1.5974738695734787
4,4,4,Netherlands,7415.0,87.99,75.66,Amsterdam,52.35,4.916667,385.5,27.235,72.765,0.9014323865015781,0.82537517053206,0.8205480442484275,1.472115352981782
5,5,5,Sweden,7384.0,98.14,71.74,Stockholm,59.333333333333336,18.05,220.4,44.884,55.116,0.8939062879339645,0.9318921187952567,0.5653387318342853,1.4096450810018069
7,7,7,Israel,7364.0,75.58,88.05,Jerusalem,31.766666666666666,35.233333,364.0,29.906666666666663,70.09333333333332,0.8890507404709881,0.6951411480742995,0.7819150218109077,1.3729615931305652
8,8,8,New Zealand,7200.0,83.63,74.52,Wellington,-41.3,174.783333,259.0,41.27,58.73,0.8492352512745812,0.7796201070416623,0.6175981490853878,1.307836188926102
9,9,9,Austria,7163.0,77.25,71.04,Vienna,48.2,16.366667,387.0,27.115,72.885,0.8402524884680748,0.7126665967047959,0.8222832766972744,1.3747973339993043
10,10,10,Australia,7162.0,104.63,77.75,Canberra,-35.266666666666666,149.133333,212.4375,46.27375,53.72625,0.840009711094926,1.0,0.5452425710360783,1.4152405364473608
11,11,11,Ireland,7041.0,82.27,76.05,Dublin,53.31666666666667,-6.233333,250.2,42.074,57.926,0.8106336489439184,0.7653478854024557,0.6059720916781145,1.2688918292679214
12,12,12,Germany,7034.0,103.08,65.58,Berlin,52.516666666666666,13.4,297.0,36.858,63.142,0.8089342073318767,0.9837338650435513,0.6813968621213217,1.4444405673941587
13,13,13,Canada,7025.0,87.98,70.22,Ottawa,45.41666666666666,-75.7,236.17142857142855,43.21114285714286,56.78885714285714,0.8067492109735372,0.8252702277258894,0.5895286984723758,1.2959395527954611
14,14,14,United Kingdom,6943.0,88.78,69.65,London,51.5,-0.083333,211.83333333333331,46.55277777777778,53.44722222222222,0.7868414663753338,0.8336656522195404,0.5412077539183316,1.2676844030750092
15,15,15,Belgium,6805.0,79.72,72.61,Brussels,50.833333333333336,4.333333,234.25,43.4025,56.5975,0.7533381888807963,0.7385874698289432,0.5867616224423396,1.2071947146113942
16,16,16,France,6687.0,85.41,74.13,Paris,48.86666666666667,2.333333,134.5,53.906666666666666,46.09333333333333,0.7246904588492352,0.7982999265400357,0.43486853204154907,1.1625702877765771
17,17,17,Bahrain,6647.0,61.41,54.77,Manama,26.23333333333333,50.566667,432.0,21.06,78.94,0.7149793639232823,0.5464371917305069,0.909840214012002,1.2796868016729208
18,18,18,Slovenia,6630.0,59.48,53.88,Ljubljana,46.05,14.516667,430.0,21.48,78.52,0.7108521485797523,0.526183230139574,0.9037669004410382,1.2645055077592062
19,19,19,Costa Rica,6582.0,39.88,47.01,San Jose,9.933333333333334,-84.083333,110.0,55.38,44.62,0.6991988346686089,0.3204953300451255,0.4135637336418191,0.873287597968983
20,20,20,United Arab Emirates,6576.0,92.17,58.33,Abu Dhabi,24.466666666666665,54.366667,448.5,14.825,85.175,0.697742170429716,0.8692412635113863,1.0,1.4974727077936485
21,21,21,Saudi Arabia,6523.0,91.85,50.41,Riyadh,24.65,46.7,379.6666666666667,28.516666666666666,71.48333333333333,0.6848749696528283,0.8658830937139259,0.8020147976767166,1.3645640299117467
22,22,22,Singapore,6480.0,91.34,83.98,Singapore,1.2833333333333332,103.85,386.0,27.22,72.78,0.674435542607429,0.8605310105992235,0.8207649483045334,1.367125459385656
23,23,23,Romania,6477.0,48.12,35.24,Bucharest,44.43333333333333,26.1,329.625,32.99625,67.00375,0.6737072104879825,0.40696820232973036,0.7372388113657725,1.0784366407698731
24,24,24,Spain,6476.0,70.04,53.88,Madrid,40.4,-3.683333,328.8888888888889,32.846666666666664,67.15333333333334,0.6734644331148337,0.6370028334557667,0.7394018268141616,1.1857664247217827
25,25,25,Uruguay,6474.0,30.07,52.07,Montevideo,-34.85,-56.166667,121.0,54.81,45.19,0.6729788783685361,0.21754643719173053,0.4218060877738413,0.8234970544865731
26,26,26,Italy,6467.0,61.74,66.47,Rome,41.9,12.483333,203.0,47.11166666666667,52.88833333333333,0.6712794367564943,0.549900304334138,0.5331260694574987,1.0184448109024344
27,27,28,Lithuania,6446.0,58.74,45.65,Vilnius,54.68333333333333,25.316667,330.6666666666667,33.516666666666666,66.48333333333333,0.666181111920369,0.5184174624829468,0.7297134456414336,1.115811656166313
28,28,29,Slovakia,6391.0,54.7,44.68,Bratislava,48.15,17.116667,370.0,29.89,70.11,0.6528283563971837,0.4760205687900095,0.7821560263176922,1.1245214512549304
29,29,30,Estonia,6341.0,63.46,53.68,Tallinn,59.43333333333333,24.716667,426.5,22.145,77.85499999999999,0.6406894877397427,0.5679504669954876,0.8941508206203455,1.2379646370864734
30,30,31,Panama,6309.0,33.09,51.43,Panama City,8.966666666666667,-79.533333,194.0,47.16,52.84,0.6329206117989803,0.24923916465526294,0.5324271563878246,0.8638213582085557
31,31,32,Brazil,6293.0,27.85,33.24,Brasilia,-15.783333333333331,-47.916667,57.23076923076923,67.51076923076923,32.48923076923077,0.6290361738285992,0.1942491342218491,0.23814953031929395,0.7000960169306507
32,32,33,Kazakhstan,6234.0,32.23,28.68,Astana,51.16666666666666,71.416667,195.5,48.650000000000006,51.35,0.6147123088128187,0.2402140833245881,0.51088135348131,0.83460996026189
33,33,34,Cyprus,6221.0,57.31,59.03,Nicosia,35.166666666666664,33.366667,359.5,30.96,69.03999999999999,0.611556202961884,0.5034106412005457,0.7666835369821415,1.1023733074301774
34,34,35,Latvia,6180.0,51.65,48.45,Riga,56.95,24.1,289.0,37.91,62.09,0.6016023306627822,0.44401301290796524,0.6661846576530982,1.0014364273297014
35,35,36,Serbia,6178.0,37.83,36.21,Belgrade,44.833333333333336,20.5,270.0,39.71,60.290000000000006,0.6011167759164846,0.29898205478014483,0.6401561709203963,0.9276484089008348
36,36,37,Chile,6172.0,33.27,43.9,Santiago,-33.45,-70.666667,86.0,59.8,40.2,0.5996601116775917,0.2511281351663344,0.3496493384426289,0.7381817186050266
37,37,39,Mexico,6128.0,38.62,35.35,Mexico City,19.433333333333334,-99.133333,169.30769230769232,52.16538461538461,47.83461538461539,0.5889779072590434,0.30727253646762515,0.46004794135804195,0.8080566163668624
38,38,40,Croatia,6125.0,47.55,48.94,Zagreb,45.8,16.0,394.6666666666667,26.136666666666667,73.86333333333333,0.588249575139597,0.40098646237800395,0.8364302412455112,1.0983821075255946
39,39,41,Poland,6123.0,59.95,38.95,Warsaw,52.25,21.0,331.57142857142856,33.39714285714286,66.60285714285715,0.5877640203932993,0.5311155420295939,0.7314417922472294,1.0782195314963103
40,40,42,El Salvador,6120.0,21.17,44.37,San Salvador,13.7,-89.2,32.0,69.79,30.21,0.5870356882738529,0.12414733969986361,0.20519123707613335,0.6341347688264249
41,41,43,Hungary,6086.0,51.98,40.66,Budapest,47.5,19.083333,318.0,35.06,64.94,0.5787812575867929,0.4474761255115962,0.7073964283132095,1.0176602251374989
42,42,45,Uzbekistan,6063.0,22.37,27.31,Tashkent,41.31666666666667,69.25,329.0,33.86,66.14,0.57319737800437,0.13674047644034004,0.7247487528016775,0.9340845501001518
43,43,46,Japan,6039.0,87.11,77.03,Tokyo,35.68333333333333,139.75,381.0,28.07,71.93,0.5673707210487983,0.816140203589044,0.8084737184585353,1.2812588030745276
44,44,47,Honduras,6022.0,32.09,40.46,Tegucigalpa,14.1,-87.216667,4.0,80.87,19.13,0.5632435057052683,0.23874488403819924,0.044971440965946054,0.6134042687136497
45,45,48,Portugal,6016.0,46.8,47.94,Lisbon,38.71666666666667,-9.133333,278.3333333333333,39.16666666666666,60.833333333333336,0.5617868414663754,0.3931157519152062,0.6480129178415636,0.9434326639130963
46,46,49,Argentina,5967.0,30.72,34.69,Buenos Aires,-34.583333333333336,-58.666667,51.66666666666666,66.27333333333333,33.72666666666667,0.549890750182083,0.22436771959282192,0.2560431880076157,0.6467447911318656
47,47,50,Greece,5948.0,39.73,56.22,Athens,37.98333333333333,23.733333,112.5,55.61,44.39,0.5452779800922554,0.31892118795256585,0.41023787144819607,0.7532157133709523
48,48,51,South Korea,5935.0,76.85,73.22,Seoul,37.55,126.983333,406.0,25.38,74.62,0.5421218742413207,0.7084688844579704,0.8473718458535175,1.2303915360247082
49,49,52,Philippines,5904.0,21.47,37.06,Manila,14.6,120.966667,212.7142857142857,46.040000000000006,53.96,0.5345957756737072,0.1272956238849827,0.5486226592437278,0.7765202131716206
50,50,53,Thailand,5891.0,31.56,43.21,Bangkok,13.75,100.516667,296.6666666666667,37.11333333333334,62.88666666666666,0.5314396698227725,0.23318291531115543,0.6777046730773865,0.8922365261326585
51,51,54,Moldova,5857.0,33.43,30.35,Chisinau,47.0,28.85,228.0,44.74,55.26,0.5231852391357126,0.25280722006506456,0.5674210107729014,0.8121581671282139
52,52,55,Jamaica,5850.0,30.25,49.67,Kingston,18.0,-76.8,24.0,71.44,28.56,0.5214857975236707,0.21943540770280198,0.1813317909044899,0.5941216656251675
53,53,56,Colombia,5781.0,28.85,26.72,Bogota,4.6,-74.083333,73.0,62.68,37.32,0.504734158776402,0.2047434148389128,0.30800375967030585,0.6257337716047177
54,54,57,Mongolia,5761.0,24.34,34.74,Ulaanbaatar,47.91666666666666,106.916667,111.0,55.34,44.66,0.4998786113134256,0.1574142092559555,0.4141421444581013,0.6679607586832264
55,55,58,Dominican Republic,5737.0,21.07,41.77,Santo Domingo,18.466666666666665,-69.9,37.0,68.37,31.63,0.4940519543578539,0.12309791163815723,0.2257248210541537,0.5569489422688764
56,56,59,Malaysia,5711.0,55.3,37.02,Kuala Lumpur,3.1666666666666665,101.7,154.66666666666666,52.39000000000001,47.60999999999999,0.48773974265598447,0.48231713716024766,0.4567999421589183,0.8241274564780463
57,57,61,China,5585.0,59.99,41.77,Beijing,39.91666666666666,116.383333,333.5,33.53,66.47,0.4571497936392328,0.5315353132542765,0.7295206420360061,1.0117885600348233
58,58,62,Paraguay,5578.0,26.08,30.2,Asuncion,-25.266666666666666,-57.666667,170.0,49.29,50.71,0.4554503520271911,0.17567425752964635,0.5016267804207938,0.6999470656811242
59,59,63,Peru,5559.0,28.17,32.53,Lima,-12.05,-77.05,28.0,70.7,29.3,0.45083758193736345,0.1976073040193095,0.19203239100571182,0.5283744988966437
60,60,64,Montenegro,5547.0,34.19,38.95,Podgorica,42.43333333333333,19.266667,193.0,47.2,52.8,0.4479242534595776,0.26078287333403294,0.5318487455715422,0.7426351271167403
61,61,65,Ecuador,5533.0,31.76,37.34,Quito,-0.2166666666666666,-78.5,119.33333333333331,57.623333333333335,42.376666666666665,0.44452537023549404,0.2352817714345682,0.3811245270286554,0.6310437558959027
62,62,66,Vietnam,5485.0,29.38,37.48,Hanoi,21.03333333333333,105.85,207.5,45.865,54.135000000000005,0.43287205632435055,0.21030538356595657,0.5511532065649629,0.7316942179695944
63,63,67,Russia,5459.0,37.41,35.26,Moscow,55.75,37.6,235.14285714285717,43.39142857142857,56.60857142857143,0.4265598446224812,0.29457445692097806,0.5869217182932749,0.7830737609695365
64,64,68,Armenia,5399.0,28.86,33.89,Yerevan,40.16666666666666,44.5,428.0,21.66,78.34,0.41199320223355185,0.20484835764508344,0.9011640517677681,1.0118289858049359
65,65,69,Nepal,5377.0,22.96,28.29,Kathmandu,27.716666666666665,85.316667,294.0,37.25,62.75,0.40665210002427776,0.14293210200440762,0.6757284361217555,0.8015013634555508
66,66,70,Bulgaria,5371.0,45.96,38.38,Sofia,42.68333333333333,23.316667,272.5,39.63,60.37,0.4051954357853848,0.3843005561968728,0.6413129925529606,0.8503838034039497
67,67,71,Indonesia,5240.0,21.07,35.85,Jakarta,-6.166666666666667,106.816667,159.0,50.83,49.17,0.37339159990288906,0.12309791163815723,0.4793579639939268,0.6199664832651177
68,68,72,Albania,5199.0,30.19,35.5,Tirana,41.31666666666667,19.816667,230.0,44.5,55.5,0.36343772760378734,0.2188057508657782,0.5708914756705951,0.711252427377996
69,69,73,South Africa,5194.0,78.36,42.09,Pretoria,-25.7,28.216667,12.166666666666666,77.33666666666666,22.66333333333333,0.3622238407380432,0.7243152481897366,0.09606439640421272,0.8155164362633562
70,70,74,Bangladesh,5155.0,25.3,33.13,Dhaka,23.716666666666665,90.4,56.0,63.66,36.34,0.3527555231852391,0.16748871864833667,0.2938326946713904,0.48869886685975034
71,71,75,Algeria,5122.0,24.63,26.87,Algiers,36.75,3.05,130.0,53.88,46.12,0.344743869871328,0.160457550634904,0.43525413925240397,0.5779629115314953
72,72,76,Ukraine,5084.0,37.22,30.71,Kyiv,50.43333333333333,30.516667,192.2,47.742,52.258,0.3355183296916727,0.292580543603736,0.5240112790109175,0.687578173435723
73,73,77,Morocco,5060.0,34.36,33.83,Rabat,34.016666666666666,-6.816667,209.0,45.78,54.22,0.329691672736101,0.2625669010389338,0.5523823295495626,0.6948123592678236
74,74,80,Georgia,4973.0,31.15,30.18,Tbilisi,41.68333333333333,44.833333,407.0,25.16,74.84,0.30857004127215343,0.2288802602581593,0.85055310534307,0.9332964314274864
75,75,81,Iraq,4941.0,40.92,34.47,Baghdad,33.333333333333336,44.4,91.0,59.13,40.87,0.3008011653313911,0.3314093818868717,0.35933771961535677,0.5739661280996693
76,76,82,Venezuela,4925.0,15.41,43.2,Caracas,10.483333333333333,-66.866667,1.0,83.98,16.02,0.29691672736100994,0.06370028334557667,0.0,0.303672964033809
77,77,83,Iran,4888.0,17.98,37.39,Tehran,35.7,51.416667,107.0,55.72,44.28,0.28793396455450354,0.09067058453143038,0.4086472417034199,0.5080548110146765
78,78,84,Ghana,4872.0,16.82,36.2,Accra,5.55,-0.216667,200.0,46.88,53.12,0.28404952658412236,0.07849721901563649,0.5364760321018002,0.612088621006423
79,79,85,Turkey,4744.0,32.88,28.31,Ankara,39.93333333333333,32.866667,338.1666666666667,32.01,67.99,0.25297402282107306,0.24703536572567955,0.7515002530547321,0.8305269161699839
80,80,86,Cambodia,4640.0,13.32,49.11,Phnom Penh,11.55,104.916667,133.0,53.56,46.44,0.22772517601359554,0.041767236855913534,0.4398814257826621,0.49709046119754574
81,81,88,Nigeria,4552.0,9.34,30.49,Abuja,9.083333333333334,7.533333,45.0,66.22,33.78,0.20636076717649915,0.0,0.25681440242932546,0.32945167100017086
82,82,89,Kenya,4543.0,32.18,33.92,Nairobi,-1.2833333333333332,36.816667,92.0,59.03,40.97,0.20417577081815974,0.23968936929373494,0.36078374665606244,0.478856607966105
83,83,90,Tunisia,4516.0,27.83,27.87,Tunis,36.8,10.183333,196.0,47.14,52.86,0.19762078174314154,0.19403924860950783,0.5327163617959656,0.6004097979737197
84,84,91,Pakistan,4516.0,26.63,19.92,Islamabad,33.68333333333333,73.05,248.25,41.99,58.010000000000005,0.19762078174314154,0.1814461118690314,0.6071867543923073,0.6638165556828359
85,85,93,Sri Lanka,4362.0,19.27,31.29,Colombo,6.916666666666667,79.833333,259.0,41.19,58.81,0.16023306627822287,0.10420820652744255,0.6187549707179525,0.6476045858583475
86,86,94,Egypt,4288.0,21.54,29.52,Cairo,30.05,31.25,218.5,44.96,55.04,0.14226754066521,0.12803022352817714,0.5642397512833489,0.595817327871469
87,87,95,Ethiopia,4241.0,10.15,47.49,Addis Ababa,9.033333333333331,38.7,195.0,47.15,52.85,0.13085700412721535,0.008500367299821603,0.532571759091895,0.5484783408263424
88,88,96,Jordan,4152.0,31.34,49.19,Amman,31.95,35.933333,280.0,38.82,61.18,0.10924981791697014,0.23087417357540144,0.6530258115826766,0.7011997699174103
89,89,97,India,3777.0,49.72,24.43,New Delhi,28.6,77.2,236.12,43.3524,56.6476,0.01820830298616169,0.42375905131703223,0.5874860819897332,0.7245986284850355
90,90,99,Tanzania,3702.0,15.97,32.81,Dar es Salaam,-6.8,39.283333,83.0,59.9,40.1,0.0,0.06957708049113234,0.34820331140192323,0.3550866319659672
